Asset_ID	Plant	Department	Machine_Type	Asset_Name	Installation_Year	Maintenance_Date	Maintenance_Type	Failure_Type	Downtime_Hours	Repair_Cost_INR	Technician	Priority	Work_Order_Status	Asset_Status	Spare_Part_Used	Repair_Time_Hours	Asset_Age_Years
AST1001	Hyderabad	Packaging	Compressor	Machine-1	2024	2026-01-29	Preventive	No Failure	2.3	37241	Ravi	Critical	Completed	Active	Bearing	2.6	2
AST1002	Hyderabad	Utilities	Compressor	Machine-2	2022	2026-06-04	Corrective	No Failure	10	15946	Priya	High	Completed	Active	None	4.5	4
AST1003	Chennai	Packaging	Conveyor	Machine-3	2018	2026-02-09	Preventive	Bearing Failure	6.8	24041	Meena	High	Completed	Idle	Valve	5.6	8
AST1004	Bengaluru	Packaging	Robot Arm	Machine-4	2020	2026-01-21	Corrective	Sensor Fault	10.6	6058	Ravi	Medium	In Progress	Active	Motor	8.7	6
AST1005	Vizag	Packaging	Compressor	Machine-5	2020	2026-03-13	Preventive	Motor Failure	12.2	43969	Ravi	Medium	Pending	Idle	Motor	2.1	6
AST1006	Bengaluru	Production	Pump	Machine-6	2020	2026-03-11	Preventive	Bearing Failure	4.5	3603	Anil	Critical	In Progress	Active	Motor	9.2	6
AST1007	Pune	Production	Pump	Machine-7	2023	2026-07-03	Preventive	No Failure	8.5	18859	Kumar	Medium	Pending	Idle	Belt	3	3
AST1008	Bengaluru	Quality	CNC Machine	Machine-8	2023	2026-04-20	Preventive	Motor Failure	9.4	7457	Ravi	Low	Completed	Idle	Motor	8	3
AST1009	Hyderabad	Quality	Boiler	Machine-9	2020	2026-06-02	Corrective	Overheating	9.8	37756	Ravi	Low	Pending	Idle	Sensor	7.8	6
AST1010	Pune	Quality	Compressor	Machine-10	2019	2026-01-29	Preventive	No Failure	15.8	18761	Meena	Medium	Pending	Active	None	3.3	7
AST1011	Bengaluru	Production	Compressor	Machine-11	2024	2026-05-10	Preventive	Motor Failure	9.9	36257	Ravi	High	In Progress	Active	Bearing	9.3	2
AST1012	Hyderabad	Production	Generator	Machine-12	2018	2026-03-03	Predictive	Bearing Failure	13.3	6035	Meena	Medium	Completed	Idle	Valve	9.5	8
AST1013	Bengaluru	Utilities	Boiler	Machine-13	2016	2026-03-09	Predictive	Electrical Fault	13.7	14682	Rahul	High	In Progress	Idle	None	4	10
AST1014	Hyderabad	Production	Compressor	Machine-14	2022	2026-04-26	Preventive	Bearing Failure	10.8	16580	Meena	Medium	Completed	Active	None	6.5	4
AST1015	Hyderabad	Packaging	Conveyor	Machine-15	2017	2026-01-18	Corrective	Sensor Fault	12.2	15540	Meena	Medium	Pending	Idle	Belt	5	9
AST1016	Vizag	Production	Conveyor	Machine-16	2021	2026-07-26	Preventive	Overheating	6.7	28441	Priya	Low	Pending	Idle	None	1.4	5
AST1017	Pune	Assembly	Compressor	Machine-17	2020	2026-07-06	Preventive	Electrical Fault	8.4	29148	Kumar	High	In Progress	Active	Bearing	4.7	6
AST1018	Hyderabad	Utilities	Robot Arm	Machine-18	2022	2026-01-26	Preventive	Bearing Failure	16.7	16991	Kumar	Critical	In Progress	Under Maintenance	Motor	8.7	4
